Ranking,Jugador,Equipo,Total,Posicion
1,Enner Valencia ,Tigres,12,Delantero
2,Camilo Sanvezzo ,Xolos,9,Delantero
2,Geraldino ,Atlas,9,Delantero
2,Nicolás Ibáñez ,Atlético San Luis,9,Delantero
3,Ángel Mena ,León FC,8,Centrocampista
4,Gignac ,Tigres,6,Delantero
5,Aristeguieta ,Monarcas,5,Delantero
5,Jonathan Rodríguez ,Cruz Azul,5,Delantero
5,Kazim-Richards ,Pachuca,5,Delantero
5,Darío Lezcano ,Bravos,5,Delantero
5,Franco Jara ,Pachuca,5,Delantero
6,Anderson Julio Santos ,Atlético San Luis,4,Delantero
6,Alexis Canelo ,Toluca,4,Delantero
6,Osvaldo Martínez ,Puebla,4,Centrocampista
6,Quiroga ,Necaxa,4,Delantero
6,Erick Aguirre ,Pachuca,4,Centrocampista
6,Fabian Castillo ,Gallos Blancos,4,Centrocampista
7,Mario Osuna ,Monarcas,3,Centrocampista
7,Mauro Lainez ,Xolos,3,Centrocampista
7,Rogelio Funes Mori ,Rayados,3,Delantero
